,author,book
516,Pablo Neruda,"""مذكرات بابلو نيرودا ""أعترف بأنني قد عشت"
517,Jeff Kinney,"The Wimpy Kid Movie Diary, How Greg Heffley Went Hollywood, The Story of all Three Movies"
518,Frederik Pohl,The Knights of Arthur
519,Beverly  Lewis,October Song
520,Tad Williams,"To Green Angel Tower, Part 2 (Memory, Sorrow, and Thorn, #3)"
521,Brian W. Aldiss,The Interpreter
522,Lisa Scottoline,"My Nest Isn't Empty, It Just Has More Closet Space: The Amazing Adventures of an Ordinary Woman"
523,Colleen McCullough,The Song of Troy
524,Daniel Defoe,Moll Flanders
525,Rainbow Rowell,Carry On
526,Jennifer Ashley,"The Stolen Mackenzie Bride (MacKenzies & McBrides, #8)"
527,Ivan Turgenev,Fædre og sønner
528,Robin Cook,Toxin
529,nbyl frwq,حرب الغد
530,Marie Force,True North
531,C.J. Cherryh,"Intruder (Foreigner, #13)"
532,Tami Hoag,"The Bitter Season (Kovac and Liska, #5)"
533,Alejandro Jodorowsky,Les Flammes du Bûcher (Borgia #3)
534,Jennifer Crusie,Agnes and the Hitman
535,E.L. James,Grey
536,Henrik Ibsen,دشمن مردم
537,Peter F. Hamilton,Great North Road
538,Jill Mansell,Rozengeur en zonneschijn
539,Donna Grant,Midnight's Temptation: Part 2
540,Sarah Dessen,Saint Anything
541,Sabrina Jeffries,"Beware a Scot's Revenge (School for Heiresses, #3)"
542,Amanda Hocking,"Switched (Trylle Trilogy, #1)"
543,Karen Robards,"Shameless (Banning Sisters, #3)"
544,Carol Marinelli,Playing the Playboy's Sweetheart (London's Most Desirable Docs #1)
545,Christina Lauren,"Beautiful Stranger (Beautiful Bastard, #2)"
546,James Lee Burke,House of the Rising Sun (Hackberry Holland 4)
547,Jaci Burton,"The Kent Brothers Trilogy (Kent Brothers, #1-3)"
548,Fritz Leiber,The Mystery of the Japanese Clock
549,William Golding,Mušu valdnieks
550,Jonathan Stroud,Buried Fire
551,Alastair Reynolds,Slow Bullets
552,Lauren Dane,"Chased (Chase Brothers, #3)"
553,Carol Lynne,Welcome to Lobster Cove (Lobster Cove #1)
554,mSTf~ mHmwd,اكل عيش
555,Kami Garcia,"Beautiful Darkness (Caster Chronicles, #2)"
556,Susan Hill,The Mist in the Mirror
557,Marie Lu,"Legend (Legend, #1)"
558,Elena Ferrante,La frantumaglia
559,Daisy Meadows,Best Friends In Fairyland
560,Marc Levy,Wenn wir zusammen sind
561,Karen      Rose,Tes larmes et ton sang
562,Time-Life Books,Animal Friends
563,H. Rider Haggard,Pearl Maiden: A Tale on the Fall of Jerusalem
564,Barbara Delinsky,More Than Friends
565,J.M. Snyder,"V: The V in Vulnerable (V, #5)"
566,Maggie Shayne,"Blue Twilight (Wings in the Night, #11)"
567,Sylvia Plath,Ariel
568,Christopher Paolini,Inheritance
569,Shirley Jackson,Siempre hemos vivido en el castillo
570,Charles Stross,Neptune's Brood
571,Yasunari Kawabata,La pandilla de Asakusa
572,Wanda E. Brunstetter,Love Finds a Home: 3 Historical Romances Make Falling in Love Simple and Sweet
573,Guy Gavriel Kay,The Summer Tree (The Fionavar Tapestry #1)
574,Jack Higgins,Dark Justice
575,Karl Marx,Komünist Manifesto
576,Sun Tzu,El Arte de la Guerra
577,Markus Zusak,Io sono il messaggero
578,Harlan Ellison,Angry Candy
579,Louise Penny,The Beautiful Mystery
580,Pittacus Lore,"The Revenge of Seven (Lorien Legacies, #5)"
581,Nelson DeMille,The Talbot Odyssey
582,Megan Derr,Embrace
583,Christopher Pike,"Thirst No. 2: Phantom, Evil Thirst, and Creatures of Forever (Thirst, #2)"
584,Richard Laymon,The Woods Are Dark
585,Niccolo Machiavelli,"The Comedies of Machiavelli: The Woman from Andros, the Mandrake, Clizia."
586,Maisey Yates,Christmas at the Chatsfield
587,Neal Shusterman,"UnDivided (Unwind, #4)"
588,Evelyn Waugh,The Loved One
589,Ben Bova,"Leviathans of Jupiter (Jupiter, #2)"
590,Sophie Hannah,The Carrier
591,Robert Crais,The Two Minute Rule
592,Joseph Delaney,The Spook's Nightmare: Book 7
593,Terry Deary,Vicious Vikings
594,Joyce Meyer,"God Is Not Mad at You: You Can Experience Real Love, Acceptance & Guilt-free Living"
595,Elizabeth Hoyt,"ใต้เงาบาป / Wicked Intentions (Maiden Lane, #1)"
596,T.S. Eliot,Growltiger's Last Stand and Other Poems
597,Keri Arthur,"Fireborn (Souls of Fire, #1)"
598,Simone de Beauvoir,All Men Are Mortal
599,Mitch Albom,Have a Little Faith: a True Story
600,Carly Phillips,"Simply Sexy (Simply, #5)"
601,Brian Wood,Black Road #3
602,Marguerite Duras,O Amante da China do Norte
603,Chimamanda Ngozi Adichie,Dovremmo essere tutti femministi
604,Arkady Strugatsky,Пикник на обочине
605,Emma Donoghue,חדר
606,Kate Atkinson,Vanochtend vroeg vertrokken (Jackson Brodie #4)
607,Hajime Isayama,"Attack on Titan, Vol. 12 (Attack on Titan, #12)"
608,Maria V. Snyder,"Shadow Study (Soulfinders, #1)"
609,Shannon Hale,"Raven Queen's Story (Ever After High, #0.2)"
610,David Foster Wallace,A Piada Infinita
611,George MacDonald,A Letter to American Boys
612,Federico Garcia Lorca,Γέρμα
613,Guillaume Musso,Y después...
614,Anne Mather,Jake Howard's Wife
615,The Church of Jesus Christ of Latter-day Saints,Teachings of Presidents of the Church: Joseph F. Smith
616,Jenny Han,Ashes to Ashes
617,Clifford D. Simak,Way Station
618,Washington Irving,Tales of the Alhambra
619,Qazi Anwar Hussain,"আক্রান্ত দূতাবাস (Masud Rana, #281)"
620,Scott Lobdell,Superman #23
621,Tite Kubo,"Bleach (3-in-1 Edition), Vol. 12: Includes vols. 34, 35  36"
622,Gordon Korman,Titanic Trilogy:  Unsinkable / Collision Course / S.O.S.
623,Ransom Riggs,"Hollow City (Miss Peregrine's Home for Peculiar Children, # 2)"
624,Tanith Lee,Don't Bite the Sun
625,Jean Plaidy,"The Reluctant Queen: The Story of Anne of York (Queens of England, #8)"
626,Henry Miller,ابتسامة عند قدم السلم
627,Tom    Taylor,All-New Wolverine (2015-) #5
628,Kay Hooper,Raven On The Wing (Hagen Series #2)
629,Diane Chamberlain,"The Silent Sister (Riley MacPherson, #1)"
630,Michael  Grant,"BZRK (BZRK, #1)"
631,Lucia Jordan,Fever
632,Patrick Rothfuss,"Die Furcht des Weisen 1 (Die Königsmörder-Chronik, #2, Teil 1 von 2)"
633,David Mitchell,Cloud Atlas - L'atlante delle nuvole
634,George Bernard Shaw,الميجور باربارا
635,Jennifer Probst,"Catch Me (Steele Brothers, #1)"
636,Jeph Loeb,"Hulk, Volume 1: Red Hulk"
637,Peter James,"You Are Dead (Roy Grace, #11)"
638,Deepak Chopra,Return of the Rishi: A Doctor's Story of Spiritual Transformation and Ayurvedic Healing
639,Anthony Burgess,Earthly Powers
640,Alan Bradley,Den bittra pajens sötma
641,Lynn Hagen,Tank's Tweak (Lady Blue Crew #5)
642,Harry Turtledove,"Colonizzazione Fase 4 (Colonizzazione, #4)"
643,Hiro Mashima,"Fairy Tail, Vol. 61 (Fairy Tail, #61)"
644,Frederick Forsyth,Dogs of War
645,Seanan McGuire,Each to Each
646,Trudi Canavan,"El gremio de los magos (Crónicas del mago negro, #1)"
647,Steve Berry,"The Alexandria Link (Cotton Malone, #2)"
648,Shiloh Walker,"The Dragon's Warrior (Fated Trilogy, #2)"
649,Tracy Chevalier,Pige Med Perleørering
650,Greg Pak,The Totally Awesome Hulk (2015-) #15
651,Amber Kell,From Pack to Pride (Supernatural Mates Book 1)
652,Banana Yoshimoto,N.P
653,Mercer Mayer,Little Critter® Hansel and Gretel: A Lift-the-Flap Book
654,John C. Maxwell,Make Today Count: The Secret of Your Success Is Determined by Your Daily Agenda
655,Geronimo Stilton,"Per mille mozzarelle... ho vinto al Tototopo! (Geronimo Stilton, #22)"
656,Anne Frank,Päiväkirja
657,Marie Ferrarella,"Cavanaugh Rules / Cavanaugh Reunion (Cavanaugh Justice, #22 & 19)"
658,Ellery Queen,Drury Lane's Last Case
659,Timothy Zahn,Manta's Gift
660,Oliver Sacks,On the Move: A Life
661,Instaread Summaries,"Red Notice by Bill Browder | A 15-minute Summary & Analysis: A True Story of High Finance, Murder, and One Man's Fight for Justice"
662,Greg Bear,"The Forge of God (Forge of God, #1)"
663,Dalai Lama XIV,Ocean of Wisdom: Guidelines for Living
664,Jim Davis,Garfield   Whatever! (Garfield Pocket Books)
665,Mary  Stewart,"The Crystal Cave (Arthurian Saga, #1)"
666,Patrick Suskind,Perfume: The Story of a Murderer
667,Jean M. Auel,"The Shelters of Stone (Earth's Children, #5)"
668,Martin H. Greenberg,All Hell Breaking Loose
669,Nicci French,Beneath the Skin
670,Jane Green,The Accidental Husband
671,David Gemmell,"The First Chronicles of Druss the Legend (Drenai Tales, #6)"
672,Yuu Watase,Fushigi Yuugi Vol. 8
673,Matthew Reilly,IJs Station
674,Rick Yancey,"De oneindige zee (De 5de golf, #2)"
675,Simon R. Green,Swords Of Haven: The Adventures Of Hawk & Fisher
676,Katie MacAlister,Unleashed (Dark Ones #7.5)
677,Jeanette Winterson,Tanglewreck
678,Humayun Ahmed,হিমু মামা
679,Sharon Kendrick,Bedded for Revenge
680,Jalaluddin Mevlana Rumi,The Glance: A Vision of Rumi
681,Eric Carle,10 Little Rubber Ducks
682,Michael Ende,Der satanarchäolügenialkohöllische Wunschpunsch
683,C.G. Jung,Las relaciones entre yo y el inconsciente
684,Richard Paul Evans,The Christmas List
685,Janette Oke,"A Quiet Strength (A Prairie Legacy, #3)"
686,Richard Dawkins,The Greatest Show on Earth: The Evidence for Evolution
687,Helen Fielding,"Che pasticcio, Bridget Jones!"
688,Rachel Van Dyken,"Fearless (Ruin, #2.5)"
689,Rachel Vincent,Blind Tiger (Wildcats #2)
690,Sergei Lukyanenko,Wächter des Tages
691,Michael Chabon,Summerland
692,Bertolt Brecht,هذا هو كل شيء : قصائد من برشت	برتولد برشت
693,Hiromu Arakawa,fullmetal alchemist kanzenban #5
694,Tracie Peterson,The Icecutter's Daughter
695,John Joseph Adams,Other Worlds Than These
696,Moliere,Hastalık Hastası
697,Jonathan Swift,Los viajes de Gulliver
698,Laura Lippman,I'd Know You Anywhere
699,Leigh Bardugo,"Six of Crows (Six of Crows, #1)"
700,Jennifer Estep,"Karma Girl (Bigtime, #1)"
701,David Levithan,Dos chicos besándose
702,Dan Jurgens,Teräsmies: Salaisuuksia ja valheita
703,Melissa Marr,Corpse Eater
704,Debra Webb,Safe by His Side (Colby Agency #1)
705,Gail Carriger,Manners & Mutiny
706,Brian Azzarello,Wonder Woman: Coleccionable Semanal núm. 05
707,Vicki Lewis Thompson,"Holding Out For A Hero (Mail Order Men, #1)"
708,Takehiko Inoue,Slam Dunk Kanzenban 20
709,Juliet Marillier,"Ravenvlucht (Schaduwval, #2)"
710,Rosemary Wells,Bunny Money
711,Thomas Harris,Punainen lohikäärme
712,Tiffany Reisz,"Christmas in Suite 37A (The Original Sinners, #6.1)"
713,Dan Gutman,Willie  Me
714,Megan McDonald,Stink-O-Pedia: Super Stink-Y Stuff From A to Zzzzz
715,Kathryn Lasky,The Librarian Who Measured the Earth
716,Lorraine Heath,"When the Duke Was Wicked (Scandalous Gentlemen of St. James, #1)"
717,Christina Dodd,"Scandalous Again (Switching Places, #1)"
718,Ngaio Marsh,Death of a Fool
719,Michelle M. Pillow,"Lilith Enraptured (Divinity Warriors, #1)"
720,Aristotle,On the Heavens
721,Lars Kepler,"Sandmannen (Joona Linna, #4)"
722,Osamu Tezuka,"Black Jack, Volume 1"
723,Ambrose Bierce,Can Such Things Be?
724,Eve Bunting,Blackwater
725,Jonathan Hickman,"FF by Jonathan Hickman, Vol. 4"
726,Mary Jo  Putney,"The Rake (Davenport, #2)"
727,C.J. Box,"Dull Knife (Joe Pickett, #4.5)"
728,Dashiell Hammett,The Return of the Thin Man
729,Walter Mosley,The Man in My Basement
730,Gilbert Morris,The Reluctant Bridegroom: 1838 (The House of Winslow #7)
731,E. Nesbit,The Garden of Truth
732,Charlie Richards,Kort's Treasure (A Paranormal’s Love #13)
733,Laini Taylor,La chimera di Praga
734,Chuck Dixon,Bruce Wayne: Agent Of S.H.I.E.L.D.
735,Karl Ove Knausgard,La mia lotta (2)
736,Larry McMurtry,"Horseman, Pass by"
737,Kristan Higgins,Too Good to Be True
738,Hilary Mantel,Wolf Hall
739,Roger Hargreaves,Little Miss Late
740,Naoko Takeuchi,"Pretty Guardian Sailor Moon, Vol. 4 (Pretty Soldier Sailor Moon Renewal Edition, #4)"
741,Claudia Gray,"A Thousand Pieces of You (Firebird, #1)"
742,Muriel Spark,The Girls of Slender Means
743,Anita Shreve,The Last Time They Met
744,Derek Landy,"Sabotage im Sanktuarium (Skulduggery Pleasant, #4)"
745,Kate Morton,The Lake House
746,David Sedaris,Σκίουρος ζητεί βερβερίτσα
747,Linwood Barclay,No Safe House
748,John Wyndham,The Day of the Triffids
749,Caroline B. Cooney,"Killer Instinct (Horror High, #2)"
750,Tomie dePaola,The Legend of Old Befana
751,Chloe Neill,Phantom Kiss (Chicagoland Vampires #12.5)
752,Audrey Carlan,Το κορίτσι του ημερολογίου (Βιβλίο 1)
753,Alistair MacLean,Perangkap Maut di Lautan Teduh
754,Ali Shariati,دفترهای خاکستری
755,Rick Steves,"Rick Steves Belgium: Bruges, Brussels, Antwerp & Ghent"
756,Margaret Wise Brown,Love Song of the Little Bear
757,Elle Kennedy,"Midnight Rescue (Killer Instincts, #1)"
758,Harold Bloom,Herman Melville's Moby-Dick (Bloom's Notes)
759,Brian Tracy,Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time
760,Gertrude Chandler Warner,The Cupcake Caper
761,Sean Platt,Cursed 2: Beaten
762,Phyllis Reynolds Naylor,"Alice in Charge (Alice, #22)"
763,Alice Walker,Purpurfärgen
764,E.L. Todd,Forever and Ever Boxed Set: Books 1-3
765,Yann Martel,Life Of Pi
766,Javier Marias,Your Face Tomorrow 1: Fever and Spear
767,Stephani Hecht,"Running Hot (EMS Heat, #1)"
768,Conn Iggulden,Wolf of the Plains
769,Ruskin Bond,The Perfect Murder
770,F. Paul Wilson,The Haunted Air
771,Ann Brashares,Søstre i gode og onde dager (Jenter i jeans #5)
772,Glen Cook,"Water Sleeps (The Chronicles of the Black Company, #8)"
773,Grace Burrowes,"Nicholas: Lord of Secrets (Lonely Lords, #2)"
774,Kim Stanley Robinson,The Years of Rice and Salt
775,Elizabeth Gilbert,Big Magic: Creative Living Beyond Fear
776,Julia Donaldson,The Princess and the Wizard
777,Shayla Black,Misterioso amante
778,Fred Vargas,"Pars vite et reviens tard (Commissaire Adamsberg, #4)"
779,Celia Kyle,On the Growl
780,Alison Weir,Captive Queen: A Novel of Eleanor of Aquitaine
781,L.E. Modesitt Jr.,Scholar: The Fourth Book of the Imager Portfolio
782,Sophie Jordan,Hidden
783,Vince Flynn,"Act of Treason (Mitch Rapp, #9)"
784,John Piper,The Passion of Jesus Christ: Fifty Reasons Why He Came to Die
785,Lloyd Alexander,The High King (The Chronicles of Prydain #5)
786,Elif Shafak,قصر الحلوى
787,Philip Kerr,Prayer
788,Tennessee Williams,Garden District: Two Plays
789,James Ellroy,Perfidia
790,Irene Nemirovsky,David Golder
791,Janet Dailey,To Santa With Love
792,Hakan Nesser,Човек без куче (Барбароти #1)
793,Darynda Jones,"Sétima Campa... Estava Vazia (Charley Davidson, #7)"
794,Cate Tiernan,"Darkness Falls (Immortal Beloved, #2)"
795,Kathi S. Barton,"Elam (Dragon's Savior, #3)"
796,Karina Halle,"Wild Card (North Ridge, #1)"
797,Barbara Hambly,"The Unschooled Wizard (Sun Wolf and Starhawk, #1-2)"
798,David A. Adler,Enemies of Slavery
799,James Herbert,"Hechizo (David Ash, #1)"
800,Melissa Foster,Logan (Wild Boys After Dark #1; After Dark #1; Love in Bloom #43)
801,Colleen Coble,"Mermaid Moon (Sunset Cove, #2)"
802,John Marsden,Hamlet
803,Peter Straub,Mystery
804,Naomi Novik,"Throne of Jade (Temeraire, #2)"
805,Emily Rodda,"Cry Wolf (Teen Power Inc., #19)"
806,`bs mHmwd l`qd,أشتات مجتمعات في اللغة والأدب
807,Peter Ackroyd,Dickens
808,Marc Brown,Play Rhymes
809,Ally Carter,"Heist Society (Heist Society, #1)"
810,Sharon Sala,"Blood Stains (The Searchers, #1)"
811,Louis Sachar,Wayside School Gets A Little Stranger (Wayside School #3)
812,Heinrich Boll,The Clown
813,Mike Resnick,"Adventures (The Chronicles of Lucifer Jones, #1)"
814,Carla Cassidy,A Real Cowboy
815,Desiree Holt,Protecting Maddie (Special Forces: Operation Alpha; Omega Team #4)
816,Kim Dare,"Turquoise and Leather (Collared, #1)"
817,Maya Angelou,I Know Why the Caged Bird Sings
818,Michael Bond,Paddington in the Garden
819,Judith McNaught,Can't Take My Eyes Off of You
820,Better Homes and Gardens,"Water Gardens, Pools, Streams & Fountains"
821,Kurt Busiek,Hämiksen nuoruus VII
822,Laurie Halse Anderson,Chains (Seeds of America #1)
823,Joseph Roth,Geschichte von der 1002. Nacht: Roman
824,Stendhal,Le Rouge et le Noir
825,W.B. Yeats,Cathleen Ni Houlihan
826,Nikos Kazantzakis,Ασκητική
827,Thomas Bernhard,Relatos autobiográficos
828,Kenneth Grahame,The Wind in the Willows
829,Robert Galbraith,The Silkworm
830,Jackie Collins,The World is Full of Married Men
831,John Wagner,Strontium Dog: Traitor To His Kind
832,J.R. Rain,"Vampire Requiem (Vampire for Hire, #10.5)"
833,Maxim Gorky,الرجل العجوز
834,Alexandra Ivy,Buried and Shadowed (Branded Packs Book 3)
835,Iain M. Banks,L'Impero di Azad
836,Knut Hamsun,Hunger
837,Michael Scott,19 Railway Street
838,John Brunner,Skynappers
839,Irvine Welsh,Varza reincalzita
840,Elizabeth Lowell,"Always Time to Die (St. Kilda Consulting, #1)"
841,Alain de Botton,Arhitectura fericirii
842,Jennifer Weiner,Best Friends Forever
843,Lorelei James,"Miss Firecracker (Wild West Boys, #2)"
844,Becca Fitzpatrick,"Silencio (Hush, Hush, #3)"
845,Luis Sepulveda,Storia di una Gabbianella e del Gatto Che le Insegnò a Volare
846,Andre Gide,"La tentative amoureuse, ou Le traité du vain désir"
847,B.A. Tortuga,"Just Like Cats and Dogs (Sanctuary, #1)"
848,Arthur Miller,The Crucible
849,J. Kenner,"Satisfaz-me (Trilogia Stark, #3.7)"
850,Jane O'Connor,Fancy Nancy: Peanut Butter and Jellyfish
851,Bella Andre,"From This Moment On (San Francisco Sullivans, #2; The Sullivans, #2)"
852,Mo Hayder,Birdman
853,Richard Bach,جاناتان، مرغ دریایی
854,Stephen Baxter,Xeelee: Endurance
855,John Buchan,The Thirty-Nine Steps
856,Dav Pilkey,Captain Underpants and the Sensational Saga of Sir Stinks-A-Lot (Captain Underpants #12)
857,Grace Livingston Hill,Ladybird
858,Susan Cooper,"Greenwitch (The Dark Is Rising, #3)"
859,Lindsey Davis,Master and God
860,Jerome K. Jerome,Three Men in a Boat
861,J. Sheridan Le Fanu,Carmilla
862,Carlos Fuentes,Gringo viejo
863,Zane Grey,Buffalo Stampede
864,Sandra Marton,Lovescenes
865,Douglas Coupland,Bit Rot
866,'nys mnSwr,على سفر
867,Brandon Mull,"The Candy Shop War (The Candy Shop War, #1)"
868,Cressida Cowell,"Kako izdresirati zmaja,  #1"
869,Nevil Shute,On the Beach
870,Blake Crouch,Grab
871,Margaret Peterson Haddix,"Among the Betrayed (Shadow Children, #3)"
872,Loretta Chase,Lord of Scoundrels (Scoundrels #3)
873,Saul Bellow,Henderson the Rain King
874,Kristine Kathryn Rusch,Blood Trail
875,Fredrik Backman,My Grandmother Sends Her Regards and Apologises
876,Anne Bishop,The Shadow Queen (The Black Jewels #7)
877,Emily Dickinson,Final Harvest: Poems
878,Erich Fromm,روانکاوی و دین
879,Dave Barry,"Boogers Are My Beat: More Lies, But Some Actual Journalism from Dave Barry"
880,Keith Giffen,Viimeinen Kzarnialainen
881,Evangeline Anderson,In the Halls of the Pleasure Palace
882,Ellen Datlow,Mad Hatters and March Hares
883,Julia London,"The Secret Lover (Rogues of Regent Street, #4)"
884,Peter Milligan,The Bronx Kill
885,Jonathan Franzen,Purity
886,Martin Amis,Koba The Dread: Laughter And The Twenty Million
887,Emma Darcy,His Most Exquisite Conquest (The Legendary Finn Brothers #2)
888,Jay Crownover,"Leveled (Saints of Denver, #0.5)"
889,Ben Aaronovitch,"Foxglove Summer (Peter Grant, #5)"
890,Charles de Lint,Mulengro
891,Stephen R. Lawhead,"La guerra del paraíso (La canción de Albión, #1)"
892,B.J. Daniels,Cardwell Christmas Crime Scene
893,Benjamin Franklin,The Autobiography of Benjamin Franklin
894,Anna Todd,After Saisons 1 et 2
895,Paul Theroux,The Stranger at the Palazzo d'Oro
896,Michael Dahl,The Viking Claw
897,Harriet Ziefert,You Can't See Your Bones with Binoculars
898,Mandy M. Roth,"Act of Surrender (PSI-Ops / Immortal Ops, #2)"
899,Gene Wolfe,La quinta testa di Cerbero
900,Luigi Pirandello,Sei personaggi in cerca d'autore
901,Dick King-Smith,How Green Was My Mouse
902,Gail Simone,Secret Six (2014-2016) #2
903,Ira Levin,Rosemary's Baby
904,Stephen Crane,The Red Badge of Courage
905,Will Durant,دروس التاريخ
